title,genres
Gabbeh (1996),Drama
Mondo (1996),Drama
"Innocent Sleep, The (1996)",Crime
For Ever Mozart (1996),Drama
Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
Out to Sea (1997),Comedy
Wild America (1997),Adventure|Children
"Simple Wish, A (1997)",Children|Fantasy
Contact (1997),Drama|Sci-Fi
Love Serenade (1996),Comedy
G.I. Jane (1997),Action|Drama
Conan the Barbarian (1982),Action|Adventure|Fantasy
George of the Jungle (1997),Children|Comedy
Cop Land (1997),Action|Crime|Drama|Thriller
Event Horizon (1997),Horror|Sci-Fi|Thriller
Spawn (1997),Action|Adventure|Sci-Fi|Thriller
Air Bud (1997),Children|Comedy
Picture Perfect (1997),Comedy|Romance
In the Company of Men (1997),Comedy|Drama
Free Willy 3: The Rescue (1997),Adventure|Children|Drama
Career Girls (1997),Drama
Conspiracy Theory (1997),Drama|Mystery|Romance|Thriller
Desperate Measures (1998),Crime|Drama|Thriller
Steel (1997),Action
She's So Lovely (1997),Drama|Romance
Hoodlum (1997),Crime|Drama|Film-Noir
Leave It to Beaver (1997),Comedy
Mimic (1997),Horror|Sci-Fi|Thriller
Money Talks (1997),Action|Comedy
Excess Baggage (1997),Adventure|Romance
Kull the Conqueror (1997),Action|Adventure
Air Force One (1997),Action|Thriller
187 (One Eight Seven) (1997),Drama|Thriller
"Hunt for Red October, The (1990)",Action|Adventure|Thriller
My Own Private Idaho (1991),Drama|Romance
"Kiss Me, Guido (1997)",Comedy
Star Maps (1997),Drama
In & Out (1997),Comedy
"Edge, The (1997)",Adventure|Drama
"Peacemaker, The (1997)",Action|Thriller|War
L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
Seven Years in Tibet (1997),Adventure|Drama|War
Kiss the Girls (1997),Crime|Drama|Mystery|Thriller
Soul Food (1997),Drama
Kicked in the Head (1997),Comedy|Drama
Wishmaster (1997),Horror
"Thousand Acres, A (1997)",Drama
"Game, The (1997)",Drama|Mystery|Thriller
Fire Down Below (1997),Action|Drama|Thriller
U Turn (1997),Crime|Drama|Mystery
"Locusts, The (1997)",Drama
"MatchMaker, The (1997)",Comedy|Romance
"Lay of the Land, The (1997)",Comedy|Drama
"Assignment, The (1997)",Action|Thriller
"Smile Like Yours, A (1997)",Comedy|Romance
Ulee's Gold (1997),Drama
"Ice Storm, The (1997)",Drama
Stag (1997),Action|Thriller
Chasing Amy (1997),Comedy|Drama|Romance
How to Be a Player (1997),Comedy
"Full Monty, The (1997)",Comedy|Drama
Indian Summer (a.k.a. Alive & Kicking) (1996),Comedy|Drama
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",Drama|Romance
I Know What You Did Last Summer (1997),Horror|Mystery|Thriller
The Devil's Advocate (1997),Drama|Mystery|Thriller
RocketMan (a.k.a. Rocket Man) (1997),Children|Comedy|Romance|Sci-Fi
Playing God (1997),Crime|Drama|Thriller
"House of Yes, The (1997)",Comedy|Drama
"Fast, Cheap & Out of Control (1997)",Documentary
Washington Square (1997),Drama
Telling Lies in America (1997),Drama
Year of the Horse (1997),Documentary
Gattaca (1997),Drama|Sci-Fi|Thriller
FairyTale: A True Story (1997),Children|Drama|Fantasy
Phantoms (1998),Drama|Horror|Thriller
Swept from the Sea (1997),Drama|Romance
Wonderland (1997),Comedy|Documentary
"Life Less Ordinary, A (1997)",Romance|Thriller
Hurricane Streets (1997),Drama
Eve's Bayou (1997),Drama
Switchback (1997),Crime|Mystery|Thriller
Gang Related (1997),Crime
Stripes (1981),Comedy|War
Nenette and Boni (Nénette et Boni) (1996),Drama
Bean (1997),Comedy
Hugo Pool (1997),Romance
Mad City (1997),Action|Drama
One Night Stand (1997),Drama
"Tango Lesson, The (1997)",Romance
Welcome to Sarajevo (1997),Drama|War
Deceiver (1997),Crime|Drama|Thriller
"Rainmaker, The (1997)",Drama
Boogie Nights (1997),Drama
Witness (1985),Drama|Romance|Thriller
Incognito (1997),Crime|Thriller
Starship Troopers (1997),Action|Sci-Fi
Critical Care (1997),Comedy|Drama
"Joy Luck Club, The (1993)",Drama|Romance
Chairman of the Board (1998),Comedy
Sliding Doors (1998),Drama|Romance
Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy
"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
"Wings of the Dove, The (1997)",Drama|Romance
Mrs. Dalloway (1997),Drama|Romance
"I Love You, I Love You Not (1996)",Drama|Romance
Red Corner (1997),Crime|Thriller
"Jackal, The (1997)",Action|Thriller
Anastasia (1997),Adventure|Animation|Children|Drama|Musical
"Man Who Knew Too Little, The (1997)",Comedy|Crime|Thriller
Alien: Resurrection (1997),Action|Horror|Sci-Fi
Alien Escape (1995),Horror|Sci-Fi
Amistad (1997),Drama|Mystery
"Apostle, The (1997)",Drama
Artemisia (1997),Drama
Bent (1997),Drama|War
Bang (1995),Crime|Drama
"Boys, Les (1997)",Comedy
"Butcher Boy, The (1997)",Comedy|Drama
Deconstructing Harry (1997),Comedy|Drama
Flubber (1997),Children|Comedy|Fantasy
For Richer or Poorer (1997),Comedy
Good Will Hunting (1997),Drama|Romance
Guy (1997),Drama
Tar (1996),Drama
Home Alone 3 (1997),Children|Comedy
Ill Gotten Gains (1997),Drama
Legal Deceit (1997),Thriller
Midnight in the Garden of Good and Evil (1997),Crime|Drama|Mystery
Mouse Hunt (1997),Children|Comedy
Never Met Picasso (1996),Romance
Office Killer (1997),Thriller
"Other Voices, Other Rooms (1995)",Drama
Scream 2 (1997),Comedy|Horror|Mystery|Thriller
Stranger in the House (1997),Thriller
"Sweet Hereafter, The (1997)",Drama
Time Tracers (1995),Action|Adventure|Sci-Fi
Titanic (1997),Drama|Romance
Tomorrow Never Dies (1997),Action|Adventure|Thriller
Twisted (1996),Comedy|Drama
Full Speed (À toute vitesse) (1996),Drama
"Education of Little Tree, The (1997)",Drama
"Postman, The (1997)",Action|Adventure|Drama|Sci-Fi
"Horse Whisperer, The (1998)",Drama|Romance
"Winter Guest, The (1997)",Drama
Jackie Brown (1997),Crime|Drama|Thriller
Kundun (1997),Drama
Mr. Magoo (1997),Comedy
"Big Lebowski, The (1998)",Comedy|Crime
Afterglow (1997),Drama|Romance
My Life in Pink (Ma vie en rose) (1997),Comedy|Drama
Great Expectations (1998),Drama|Romance
Vermin (1998),Comedy
3 Ninjas: High Noon On Mega Mountain (1998),Action|Children|Comedy
Men of Means (1999),Action|Drama
Caught Up (1998),Crime
Arguing the World (1998),Documentary
Firestorm (1998),Action|Adventure|Thriller
Senseless (1998),Comedy
Wag the Dog (1997),Comedy
Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
The Leading Man (1996),Drama|Romance|Thriller
Star Kid (1997),Adventure|Children|Fantasy|Sci-Fi
Hard Rain (1998),Action|Crime|Thriller
Half Baked (1998),Comedy
Fallen (1998),Crime|Drama|Fantasy|Thriller
Shooting Fish (1997),Comedy|Romance
"Prophecy II, The (1998)",Horror
Fallen Angels (Duo luo tian shi) (1995),Drama|Romance
"Four Days in September (O Que É Isso, Companheiro?) (1997)",Drama
Spice World (1997),Comedy
Deep Rising (1998),Action|Horror|Sci-Fi
Tainted (1998),Comedy|Thriller
"Letter From Death Row, A (1998)",Crime|Drama
Music From Another Room (1998),Drama|Romance
Mother and Son (Mat i syn) (1997),Drama
"Replacement Killers, The (1998)",Action|Crime|Thriller
B. Monkey (1998),Crime|Romance|Thriller
Night Flier (1997),Horror
Blues Brothers 2000 (1998),Action|Comedy|Musical
Tokyo Fist (Tokyo ken) (1995),Action|Drama
Mass Transit (1998),Comedy|Drama
Ride (1998),Drama
"Wedding Singer, The (1998)",Comedy|Romance
Sphere (1998),Sci-Fi|Thriller
Ayn Rand: A Sense of Life (1997),Documentary
"Further Gesture, A (1996)",Drama
Little City (1998),Comedy|Romance
Palmetto (1998),Crime|Drama|Mystery|Romance|Thriller
As Good as It Gets (1997),Comedy|Drama|Romance
King of New York (1990),Crime|Thriller
"Paralyzing Fear: The Story of Polio in America, A (1998)",Documentary
Men with Guns (1997),Action|Drama
"Sadness of Sex, The (1995)",Drama
Twilight (1998),Crime|Drama|Thriller
U.S. Marshals (1998),Action|Crime|Thriller
Welcome to Woop-Woop (1997),Comedy
Love and Death on Long Island (1997),Comedy|Drama
"Callejón de los milagros, El (1995)",Drama
In God's Hands (1998),Action|Drama
Everest (1998),Documentary|IMAX
Hush (1998),Thriller
Suicide Kings (1997),Comedy|Crime|Drama|Mystery|Thriller
"Man in the Iron Mask, The (1998)",Action|Adventure|Drama
"Newton Boys, The (1998)",Crime|Drama
Wild Things (1998),Crime|Drama|Mystery|Thriller
Paulie (1998),Adventure|Children|Comedy
"Cool, Dry Place, A (1998)",Drama
Fireworks (Hana-bi) (1997),Crime|Drama
Primary Colors (1998),Comedy|Drama
"Niagara, Niagara (1997)",Drama
Wide Awake (1998),Children|Comedy|Drama
"Price Above Rubies, A (1998)",Drama
Eden (1997),Drama
Two Girls and a Guy (1997),Comedy|Drama
No Looking Back (1998),Drama|Romance
Storefront Hitchcock (1997),Documentary|Musical
"Proposition, The (1998)",Drama|Romance
"Object of My Affection, The (1998)",Comedy|Romance
Meet the Deedles (1998),Children|Comedy
Homegrown (1998),Comedy|Thriller
The Players Club (1998),Comedy|Drama
Barney's Great Adventure (1998),Adventure|Children
"Big One, The (1997)",Comedy|Documentary
Chinese Box (1997),Drama|Romance
Follow the Bitch (1996),Comedy
Lost in Space (1998),Action|Adventure|Sci-Fi
Heaven's Burning (1997),Action|Drama
Mercury Rising (1998),Action|Drama|Thriller
"Spanish Prisoner, The (1997)",Crime|Drama|Mystery|Thriller
City of Angels (1998),Drama|Fantasy|Romance
"Last Days of Disco, The (1998)",Comedy|Drama
"Odd Couple II, The (1998)",Comedy
My Giant (1998),Comedy
He Got Game (1998),Drama
"Gingerbread Man, The (1998)",Drama|Thriller
Illtown (1996),Crime|Drama
Slappy and the Stinkers (1998),Children|Comedy
Live Flesh (Carne trémula) (1997),Drama|Romance
Zero Effect (1998),Comedy|Mystery|Thriller
Nil By Mouth (1997),Drama
Ratchet (1996),Drama|Thriller
"Borrowers, The (1997)",Adventure|Children|Comedy|Fantasy
Prince Valiant (1997),Adventure
"I Love You, Don't Touch Me! (1998)",Drama|Romance
Leather Jacket Love Story (1997),Drama|Romance
Love Walked In (1998),Drama|Thriller
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Comedy
Kissing a Fool (1998),Comedy|Romance
Krippendorf's Tribe (1998),Comedy
Kurt & Courtney (1998),Documentary
"Real Blonde, The (1997)",Comedy
Mr. Nice Guy (Yat goh ho yan) (1997),Action|Comedy
Taste of Cherry (Ta'm e guilass) (1997),Drama
Character (Karakter) (1997),Drama
Junk Mail (Budbringeren) (1997),Comedy|Thriller
Species II (1998),Horror|Sci-Fi
Major League: Back to the Minors (1998),Comedy
Sour Grapes (1998),Comedy
Wild Man Blues (1997),Documentary
"Big Hit, The (1998)",Action|Comedy|Crime
Tarzan and the Lost City (1998),Action|Adventure
Black Dog (1998),Action|Thriller
"Dancer, Texas Pop. 81 (1998)",Comedy|Drama
"Friend of the Deceased, A (Priyatel pokonika) (1997)",Comedy|Drama
Go Now (1995),Drama
"Misérables, Les (1998)",Crime|Drama|Romance|War
Still Breathing (1997),Comedy|Romance
Clockwatchers (1997),Comedy
Deep Impact (1998),Drama|Sci-Fi|Thriller
Little Men (1998),Drama
Woo (1998),Comedy|Romance
"Hanging Garden, The (1997)",Drama|Romance
Lawn Dogs (1997),Drama
Quest for Camelot (1998),Adventure|Animation|Children|Fantasy|Musical
Godzilla (1998),Action|Sci-Fi|Thriller
Bulworth (1998),Comedy|Drama|Romance
Fear and Loathing in Las Vegas (1998),Adventure|Comedy|Drama
"Opposite of Sex, The (1998)",Comedy|Drama|Romance
I Got the Hook Up (1998),Comedy
Almost Heroes (1998),Adventure|Comedy|Western
Hope Floats (1998),Comedy|Drama|Romance
Insomnia (1997),Drama|Mystery|Thriller
Little Boy Blue (1997),Drama
"Ugly, The (1997)",Horror|Thriller
"Perfect Murder, A (1998)",Thriller
Beyond Silence (Jenseits der Stille) (1996),Drama
Six Days Seven Nights (1998),Adventure|Comedy|Romance
Can't Hardly Wait (1998),Comedy|Drama|Romance
Cousin Bette (1998),Comedy
High Art (1998),Drama|Romance
"Land Girls, The (1998)",Drama|War
Passion in the Desert (1998),Adventure|Drama
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Comedy|Drama
Dear Jesse (1997),Documentary
Dream for an Insomniac (1996),Drama|Romance
Hav Plenty (1997),Comedy
Henry Fool (1997),Comedy|Drama
Marie from the Bay of Angels (Marie Baie Des Anges) (1997),Drama
Mr. Jealousy (1997),Comedy|Romance
Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
Resurrection Man (1998),Drama|Thriller
"X-Files: Fight the Future, The (1998)",Action|Crime|Mystery|Sci-Fi|Thriller
I Went Down (1997),Comedy|Crime|Drama
Dr. Dolittle (1998),Comedy
Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller
Picnic at Hanging Rock (1975),Drama|Mystery
Smoke Signals (1998),Comedy|Drama
Voyage to the Beginning of the World (Viagem ao Princípio do Mundo) (1997),Drama
Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama|Romance
Armageddon (1998),Action|Romance|Sci-Fi|Thriller
Lethal Weapon 4 (1998),Action|Comedy|Crime|Thriller
Madeline (1998),Children|Comedy
Small Soldiers (1998),Animation|Children|Fantasy|War
Pi (1998),Drama|Sci-Fi|Thriller
Whatever (1998),Drama
There's Something About Mary (1998),Comedy|Romance
Plan 9 from Outer Space (1959),Horror|Sci-Fi
Wings (1927),Action|Drama|Romance|War
"Broadway Melody, The (1929)",Musical
All Quiet on the Western Front (1930),Action|Drama|War
Cimarron (1931),Drama|Western
Grand Hotel (1932),Drama|Romance
Cavalcade (1933),Drama|Romance|War
Mutiny on the Bounty (1935),Adventure|Drama
"Great Ziegfeld, The (1936)",Drama|Musical
"Life of Emile Zola, The (1937)",Drama
You Can't Take It with You (1938),Comedy|Romance
How Green Was My Valley (1941),Drama|Musical|Romance
Mrs. Miniver (1942),Drama|War
Going My Way (1944),Comedy|Drama|Musical
"Lost Weekend, The (1945)",Drama
"Best Years of Our Lives, The (1946)",Drama|War
Gentleman's Agreement (1947),Drama
Hamlet (1948),Drama
All the King's Men (1949),Drama
"Greatest Show on Earth, The (1952)",Drama
From Here to Eternity (1953),Drama|Romance|War
On the Waterfront (1954),Crime|Drama
Marty (1955),Drama|Romance
West Side Story (1961),Drama|Musical|Romance
Tom Jones (1963),Adventure|Comedy|Romance
"Man for All Seasons, A (1966)",Drama
In the Heat of the Night (1967),Drama|Mystery
Oliver! (1968),Drama|Musical
Midnight Cowboy (1969),Drama
"French Connection, The (1971)",Action|Crime|Thriller
Rocky (1976),Drama
Kramer vs. Kramer (1979),Drama
Ordinary People (1980),Drama
Chariots of Fire (1981),Drama
Terms of Endearment (1983),Comedy|Drama
Out of Africa (1985),Drama|Romance
"Last Emperor, The (1987)",Drama
Rain Man (1988),Drama
Driving Miss Daisy (1989),Drama
Take the Money and Run (1969),Comedy|Crime
Klute (1971),Drama|Mystery
Repo Man (1984),Comedy|Sci-Fi
Metropolitan (1990),Comedy
Labyrinth (1986),Adventure|Fantasy|Musical
"Breakfast Club, The (1985)",Comedy|Drama
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",Horror
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",Horror|Thriller
"Nightmare on Elm Street 4: The Dream Master, A (1988)",Horror|Thriller
"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",Horror
Friday the 13th (1980),Horror|Mystery|Thriller
Friday the 13th Part 2 (1981),Horror
Friday the 13th Part 3: 3D (1982),Horror
Friday the 13th Part IV: The Final Chapter (1984),Horror
Friday the 13th Part V: A New Beginning (1985),Horror
Friday the 13th Part VI: Jason Lives (1986),Horror
Friday the 13th Part VII: The New Blood (1988),Horror
Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror
Halloween (1978),Horror
Halloween II (1981),Horror
Halloween III: Season of the Witch (1982),Horror
Halloween 4: The Return of Michael Myers (1988),Horror
Halloween 5: The Revenge of Michael Myers (1989),Horror
Prom Night (1980),Horror
Prom Night II (1987),Horror|Thriller
Prom Night III: The Last Kiss (1989),Horror
Prom Night IV: Deliver Us From Evil (1992),Horror
Child's Play (1988),Horror|Thriller
Child's Play 2 (1990),Horror|Thriller
Child's Play 3 (1991),Comedy|Horror|Thriller
Poltergeist (1982),Horror|Thriller
Poltergeist II: The Other Side (1986),Horror|Thriller
Poltergeist III (1988),Horror|Thriller
"Exorcist, The (1973)",Horror|Mystery
Exorcist II: The Heretic (1977),Horror
"Exorcist III, The (1990)",Horror
Lethal Weapon (1987),Action|Comedy|Crime|Drama
Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama
Gremlins (1984),Comedy|Horror
Gremlins 2: The New Batch (1990),Comedy|Horror
"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
"Mask of Zorro, The (1998)",Action|Comedy|Romance
Polish Wedding (1998),Comedy
"This World, Then the Fireworks (1997)",Crime|Drama|Film-Noir
Soylent Green (1973),Drama|Mystery|Sci-Fi|Thriller
Metropolis (1927),Drama|Sci-Fi
Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
"Poseidon Adventure, The (1972)",Action|Adventure|Drama
Freaky Friday (1977),Children|Comedy|Fantasy
"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
"Apple Dumpling Gang Rides Again, The (1979)",Children|Comedy|Western
Babes in Toyland (1961),Children|Fantasy|Musical
Bambi (1942),Animation|Children|Drama
Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
Dangerous Liaisons (1988),Drama|Romance
Dune (1984),Adventure|Sci-Fi
"Last Temptation of Christ, The (1988)",Drama
"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
"Rapture, The (1991)",Drama|Mystery
Lolita (1997),Drama|Romance
Disturbing Behavior (1998),Horror|Thriller
Jane Austen's Mafia! (1998),Comedy|Crime
Saving Private Ryan (1998),Action|Drama|War
Billy's Hollywood Screen Kiss (1997),Comedy|Romance
East Palace West Palace (Dong gong xi gong) (1997),Drama
"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",Children|Comedy
"Barefoot Executive, The (1971)",Children|Comedy
"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
"Black Hole, The (1979)",Children|Sci-Fi
Blackbeard's Ghost (1968),Children|Comedy
Blank Check (1994),Children|Comedy
Candleshoe (1977),Adventure|Children|Comedy
"Cat from Outer Space, The (1978)",Children|Comedy|Sci-Fi
Cheetah (1989),Adventure|Children
"Computer Wore Tennis Shoes, The (1969)",Children|Comedy
Condorman (1981),Action|Adventure|Children|Comedy
D2: The Mighty Ducks (1994),Children|Comedy
Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy
"Devil and Max Devlin, The (1981)",Comedy|Fantasy
"Far Off Place, A (1993)",Adventure|Children|Drama|Romance
Flight of the Navigator (1986),Adventure|Children|Sci-Fi
"Gnome-Mobile, The (1967)",Adventure|Children|Fantasy|Musical
"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime
"Happiest Millionaire, The (1967)",Comedy|Musical
Herbie Goes Bananas (1980),Adventure|Children|Comedy
Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy
Hocus Pocus (1993),Children|Comedy|Fantasy|Horror
"Honey, I Blew Up the Kid (1992)",Children|Comedy|Sci-Fi
"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
Hot Lead and Cold Feet (1978),Action|Comedy|Western
In Search of the Castaways (1962),Adventure|Children
"Incredible Journey, The (1963)",Adventure|Children
"Negotiator, The (1998)",Action|Crime|Drama|Mystery|Thriller
"Parent Trap, The (1998)",Children|Comedy|Romance
BASEketball (1998),Comedy
Full Tilt Boogie (1997),Documentary
"Governess, The (1998)",Drama|Romance
"Seventh Heaven (Septième ciel, Le) (1997)",Drama|Romance
Roger & Me (1989),Documentary
"Purple Rose of Cairo, The (1985)",Comedy|Drama|Fantasy|Romance
Out of the Past (1947),Film-Noir
Doctor Zhivago (1965),Drama|Romance|War
Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery
"Trip to Bountiful, The (1985)",Drama
Tender Mercies (1983),Drama|Romance|Western
And the Band Played On (1993),Drama
"'burbs, The (1989)",Comedy
Fandango (1985),Comedy
"Night Porter, The (Portiere di notte, Il) (1974)",Crime|Drama|Romance
Mephisto (1981),Drama|War
Blue Velvet (1986),Drama|Mystery|Thriller
"Journey of Natty Gann, The (1985)",Adventure|Children
"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
Kidnapped (1960),Adventure|Children|Drama
Lady and the Tramp (1955),Animation|Children|Comedy|Romance
"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance
"Mighty Ducks, The (1992)",Children|Comedy
"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical
Newsies (1992),Children|Musical
101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children
One Magic Christmas (1985),Drama|Fantasy
Peter Pan (1953),Animation|Children|Fantasy|Musical
Popeye (1980),Adventure|Comedy|Musical
"Rescuers Down Under, The (1990)",Adventure|Animation|Children
"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama
Return from Witch Mountain (1978),Children|Sci-Fi
Return to Oz (1985),Adventure|Children|Fantasy
"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
"Shaggy D.A., The (1976)",Children|Comedy
Sleeping Beauty (1959),Animation|Children|Musical
Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
Son of Flubber (1963),Children|Comedy
Song of the South (1946),Adventure|Animation|Children|Musical
Splash (1984),Comedy|Fantasy|Romance
Squanto: A Warrior's Tale (1994),Adventure|Drama
Steamboat Willie (1928),Animation|Children|Comedy|Musical
Tall Tale (1995),Adventure|Children|Fantasy|Western
Tex (1982),Drama
Tron (1982),Action|Adventure|Sci-Fi
Swing Kids (1993),Drama|War
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Horror|Thriller
L.A. Story (1991),Comedy|Romance
"Jerk, The (1979)",Comedy
Dead Men Don't Wear Plaid (1982),Comedy|Crime|Thriller
"Man with Two Brains, The (1983)",Comedy
Grand Canyon (1991),Crime|Drama
Graveyard Shift (Stephen King's Graveyard Shift) (1990),Horror|Thriller
"Outsiders, The (1983)",Drama
Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi
"Dead Zone, The (1983)",Thriller
Maximum Overdrive (1986),Horror
Needful Things (1993),Drama|Horror
Cujo (1983),Horror|Thriller
Children of the Corn (1984),Horror|Thriller
All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
"Addams Family, The (1991)",Children|Comedy|Fantasy
Ever After: A Cinderella Story (1998),Comedy|Drama|Romance
Snake Eyes (1998),Action|Crime|Mystery|Thriller
"First Love, Last Rites (1997)",Drama|Romance
Safe Men (1998),Comedy
"Saltmen of Tibet, The (Salzmänner von Tibet, Die) (1997)",Documentary
Atlantic City (1980),Crime|Drama|Romance
Autumn Sonata (Höstsonaten) (1978),Drama
Who's Afraid of Virginia Woolf? (1966),Drama
Adventures in Babysitting (1987),Adventure|Comedy
Weird Science (1985),Comedy|Fantasy|Sci-Fi
Doctor Dolittle (1967),Adventure|Children|Musical
"Nutty Professor, The (1963)",Comedy|Sci-Fi
Charlotte's Web (1973),Animation|Children
Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy
"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
"Dark Crystal, The (1982)",Adventure|Fantasy
"American Tail, An (1986)",Adventure|Animation|Children|Comedy
"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western
Legend (1985),Adventure|Fantasy|Romance
Sixteen Candles (1984),Comedy|Romance
Pretty in Pink (1986),Comedy|Drama|Romance
St. Elmo's Fire (1985),Drama|Romance
"Clan of the Cave Bear, The (1986)",Adventure|Drama|Fantasy
House (1986),Comedy|Fantasy|Horror
House II: The Second Story (1987),Comedy|Fantasy|Horror
"Gods Must Be Crazy, The (1980)",Adventure|Comedy
"Gods Must Be Crazy II, The (1989)",Comedy
Air Bud: Golden Receiver (1998),Children|Comedy
"Avengers, The (1998)",Action|Adventure
How Stella Got Her Groove Back (1998),Drama|Romance
"Slums of Beverly Hills, The (1998)",Comedy|Drama
"Best Man, The (Testimone dello sposo, Il) (1998)",Comedy|Drama|Romance
"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La) (1998)",Romance
"Henry: Portrait of a Serial Killer, Part 2 (1998)",Crime|Horror
Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller
Rosemary's Baby (1968),Drama|Horror|Thriller
"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy
Attack of the Killer Tomatoes! (1978),Comedy|Horror
Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror
Your Friends and Neighbors (1998),Comedy|Drama
Return to Paradise (1998),Crime|Drama|Romance|Thriller
Blade (1998),Action|Horror|Thriller
Dance with Me (1998),Drama|Romance
Dead Man on Campus (1998),Comedy
Wrongfully Accused (1998),Action|Comedy
Next Stop Wonderland (1998),Comedy|Drama|Romance
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",Comedy|Drama
"Navigator: A Mediaeval Odyssey, The (1988)",Adventure|Fantasy|Sci-Fi
Beetlejuice (1988),Comedy|Fantasy
Déjà Vu (1997),Drama|Romance
Rope (1948),Crime|Drama|Thriller
Family Plot (1976),Comedy|Thriller
Frenzy (1972),Thriller
Topaz (1969),Thriller
Torn Curtain (1966),Thriller
Marnie (1964),Drama|Mystery|Romance|Thriller
"Wrong Man, The (1956)",Drama|Film-Noir|Thriller
"Man Who Knew Too Much, The (1956)",Adventure|Drama|Mystery|Thriller
"Trouble with Harry, The (1955)",Comedy|Mystery
I Confess (1953),Thriller
Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller
Stage Fright (1950),Mystery|Romance|Thriller
54 (1998),Drama
I Married A Strange Person! (1997),Animation|Comedy|Fantasy|Sci-Fi
Why Do Fools Fall In Love? (1998),Drama
"Merry War, A (1997)",Comedy
See the Sea (1997),Thriller
Willow (1988),Action|Adventure|Fantasy
"Untouchables, The (1987)",Action|Crime|Drama
Dirty Work (1998),Comedy
Knock Off (1998),Action
Firelight (1997),Drama
Modulations (1998),Documentary
Phoenix (1998),Crime|Drama
Under Capricorn (1949),Drama
"Paradine Case, The (1947)",Drama
Lifeboat (1944),Drama|War
Shadow of a Doubt (1943),Crime|Drama|Thriller
Saboteur (1942),Mystery|Thriller
Mr. & Mrs. Smith (1941),Comedy|Romance
Suspicion (1941),Film-Noir|Mystery|Thriller
Jamaica Inn (1939),Drama
"Lady Vanishes, The (1938)",Drama|Mystery|Thriller
Young and Innocent (1937),Crime|Thriller
Sabotage (1936),Thriller
Secret Agent (1936),Thriller
"Man Who Knew Too Much, The (1934)",Drama|Thriller
Waltzes from Vienna (1933),Comedy|Musical
Number Seventeen (a.k.a. Number 17) (1932),Thriller
Rich and Strange (1931),Comedy|Romance
